date,open,high,low,close,volume,symbol,daily_return,cumulative_return,equity_curve,daily_return_pct,cumulative_return_pct
2025-11-19,9725,9775,9600,9675,23150100,BREN,0.0051948051948051965,0.021108179419524475,1021108,0.52,2.11
2025-11-20,9775,9875,9675,9800,47084000,BREN,0.012919896640826822,0.034300791556727495,1034301,1.29,3.43
2025-11-21,9800,9900,9675,9850,53431000,BREN,0.005102040816326481,0.03957783641160861,1039578,0.51,3.96
2025-11-24,10025,10125,9775,10125,694632000,BREN,0.027918781725888353,0.06860158311345566,1068602,2.79,6.86
2025-11-25,10125,10125,9625,9650,34782900,BREN,-0.04691358024691361,0.018469656992083694,1018470,-4.69,1.85
2025-11-26,9850,9850,9400,9575,41654800,BREN,-0.007772020725388629,0.010554089709761794,1010554,-0.78,1.06
2025-11-27,9525,9600,9400,9525,23357600,BREN,-0.005221932114882533,0.005277044854880453,1005277,-0.52,0.53
2025-11-28,9575,9625,9450,9575,21597800,BREN,0.005249343832020914,0.010554089709761572,1010554,0.52,1.06
2025-12-01,9625,9625,9400,9550,10400800,BREN,-0.0026109660574412663,0.007915567282321012,1007916,-0.26,0.79
2025-12-02,9550,9650,9525,9650,18978500,BREN,0.010471204188481575,0.018469656992083472,1018470,1.05,1.85
2025-12-03,9675,9700,9525,9625,8797100,BREN,-0.002590673575129543,0.015831134564642912,1015831,-0.26,1.58
2025-12-04,9600,9625,9450,9450,5266400,BREN,-0.018181818181818188,-0.0026385224274415586,997361,-1.82,-0.26
2025-12-05,9450,9650,9450,9625,7697300,BREN,0.0185185185185186,0.015831134564642912,1015831,1.85,1.58
2025-12-08,9625,9650,9500,9650,7491700,BREN,0.0025974025974024872,0.018469656992083472,1018470,0.26,1.85
2025-12-09,9525,9600,9425,9575,10046600,BREN,-0.007772020725388629,0.010554089709761572,1010554,-0.78,1.06
2025-12-10,9550,9650,9450,9625,9881100,BREN,0.005221932114882533,0.015831134564642912,1015831,0.52,1.58
2025-12-11,9650,9650,9450,9450,7489400,BREN,-0.018181818181818188,-0.0026385224274415586,997361,-1.82,-0.26
2025-12-12,9550,9600,9450,9575,12996800,BREN,0.013227513227513255,0.010554089709761572,1010554,1.32,1.06
2025-12-15,9625,9650,9475,9500,8838100,BREN,-0.007832898172323799,0.0026385224274396712,1002639,-0.78,0.26
2025-12-16,9450,9800,9300,9800,22256800,BREN,0.03157894736842115,0.03430079155672727,1034301,3.16,3.43
2025-12-17,9825,9875,9600,9725,8889900,BREN,-0.007653061224489832,0.026385224274405372,1026385,-0.77,2.64
